trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
513,False,"{'a': 0.002, 'e': 0.5199533413309696}",20,0,-98.79479106845608,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
514,False,"{'a': 0.002, 'e': 0.5182439132369261}",20,11,15.09448934521793,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
515,False,"{'a': 0.002, 'e': 0.5165324121679207}",20,11,15.68058023040827,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
516,False,"{'a': 0.002, 'e': 0.5148188449699553}",25,15,-37.960559869963035,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
517,False,"{'a': 0.002, 'e': 0.5131032184972965}",30,12,-11.19023338684318,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
518,False,"{'a': 0.002, 'e': 0.5113855396124478}",20,14,7.653873808124835,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
519,False,"{'a': 0.002, 'e': 0.5096658151861225}",30,0,-50.24507194773641,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
520,False,"{'a': 0.002, 'e': 0.507944052097216}",20,3,4.4857971806334636,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
521,False,"{'a': 0.002, 'e': 0.5062202572327784}",20,0,-75.73627616277983,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
522,False,"{'a': 0.002, 'e': 0.5044944374879867}",20,7,-21.162969060724738,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 0}",1
523,False,"{'a': 0.002, 'e': 0.5027665997661179}",25,16,3.4695270503597495,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
524,False,"{'a': 0.002, 'e': 0.5010367509785203}",20,8,-13.934692994621521,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 0}",1
525,False,"{'a': 0.002, 'e': 0.49930489804458683}",25,0,-27.430327689003736,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
526,False,"{'a': 0.002, 'e': 0.49757104789172696}",30,0,28.92312339565292,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
527,False,"{'a': 0.002, 'e': 0.49583520745533893}",30,24,10.017465796584178,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
528,False,"{'a': 0.002, 'e': 0.4940973836787822}",30,16,12.296054672633023,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
529,False,"{'a': 0.002, 'e': 0.4923575835133495}",25,19,0.37758826508974463,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
530,False,"{'a': 0.002, 'e': 0.4906158139182393}",25,6,-80.02486384673153,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 1}",1
531,False,"{'a': 0.002, 'e': 0.4888720818605275}",20,6,24.870463874390317,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
532,False,"{'a': 0.002, 'e': 0.48712639431514015}",30,16,-14.712586739998944,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
533,False,"{'a': 0.002, 'e': 0.485378758264825}",20,0,-13.619251337652129,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
534,False,"{'a': 0.002, 'e': 0.483629180700124}",25,4,4.231350086432105,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 0}",1
535,False,"{'a': 0.002, 'e': 0.481877668619345}",30,10,-38.38149557780138,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",1
536,False,"{'a': 0.002, 'e': 0.4801242290285341}",25,0,-75.16874255950493,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
537,False,"{'a': 0.002, 'e': 0.47836886894144715}",20,6,-35.83862066957781,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 1}",1
538,False,"{'a': 0.002, 'e': 0.47661159537952236}",35,21,11.905612632348715,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
